seed,delayed_reward,immediate_reward,policy_loss,delayed_value_loss,immediate_value_loss,entropy,Unnamed: 7
94568,-0.0001073334619341,-1.6444444444444444,-0.081955255222662,0.0011950079712429,5.286647118628025,0.683028981089592,
10050,-0.0027670306938383286,-1.1765341020728952,-0.08537444374559056,0.0004151777908952523,3.51339273948542,0.6163760123570193,
11764,-0.001971014230321852,-0.49690953801945176,-0.015273389139704214,0.0002043358963885517,2.4945173851822875,0.5528620509956128,
55924,-0.0023335972578119963,-0.4851440465664604,0.013864709496701702,0.0002371309792562118,2.595149924092718,0.4902495222265544,
14013,-0.004937940995076982,-0.21553787208959618,0.07797199165861093,0.00018935757712649205,1.851079068257812,0.4266541019580092,
8092,-0.014302392500688545,-0.329459549071618,0.03658223222842287,0.0003885424327718454,1.88150529429431,0.3977325190221816,
5921,-0.006093108815019091,-0.09752707780725015,0.10459214436597655,0.00016499877039368753,1.5438789502313242,0.4390842817699047,
24037,-0.0027128052094931177,-0.4850066620001965,0.004012659765669982,0.00014997682920065133,2.621370002232116,0.4713228560788976,
94694,-0.005813339535801127,-0.300020262304745,0.04806159527043823,0.00025948172738412894,1.901476272646719,0.4212908199617479,
76865,-0.003992339141519577,-0.1532465738284703,0.09937574939471261,0.00016876539149900132,1.2981143383017744,0.3589226237695028,
76987,-0.0011518068287718955,-0.044839559386973094,0.13934782881596042,5.006446631715463e-05,0.8927053317800657,0.3646392567127706,
44618,-0.0049655765346916765,-0.04136273209549065,0.118624903070741,0.00017577459029924643,1.0107181660604252,0.45539636806876665,
16092,-0.00774679615016853,-0.256047990961784,0.05574202176889289,0.00022550396788835703,1.7871919002452157,0.39698013725874176,
93516,-0.006452629522567827,-0.22765006385696038,0.049745004395646476,0.0003015608394339983,1.5942275387759524,0.39806611960668165,
22392,-0.001437060829894797,-0.253183023872679,0.03049595387706855,8.719491179853635e-05,1.4896631235286435,0.36930416539281763,
40027,-0.0047606599162015985,-0.06359715775125258,0.12053916422162528,0.0001424158566573406,1.2337995704134166,0.4386203143583852,
88476,-0.003584593017623392,-0.16902077807250218,0.053154471315584303,0.00010515162956982493,1.1703064615410854,0.37870461039620623,
46557,-0.010793584901871007,0.010985853227232526,0.15837518899399125,0.00013853629110778155,0.7533679205582952,0.4704215446785982,
54916,-0.004560024128573034,-0.15690084978878083,0.07872956090670147,0.0001607843934484159,1.5646909175941879,0.4262508207716919,
82502,-0.0005960063545975892,-0.29942006827782686,0.02724632078260472,5.330106994415755e-05,1.3830706225765765,0.32289794896186635,
46162,-0.005667716638051811,0.012060123784261693,0.16454641598229025,0.00011026984507451431,1.0922015303912203,0.49170375136966515,
49707,-0.0037172866422376014,-0.29547989426760973,0.017717636145927057,0.00014451757324033065,1.543382160333467,0.3710958347441324,
77482,-0.004364711071924096,-0.1782636125847332,0.0781684448207303,0.0001334016933004695,1.413523516101412,0.4002459281554016,
